num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         4; 10.0; 3;    36;  0.1590;  100.0;  100.0;  1.35e+01
         4; 10.0; 7;  1000;  0.0438;   90.8;   87.6;       Inf
         5;  0.0; 1;    31;  0.1045;  100.0;  100.0;  4.97e-07
         5;  0.0; 3;    80;  0.2551;  100.0;   99.6;  2.66e-07
         5;  0.0; 7;    80;  0.0038;  100.0;  100.0;  9.42e-03
         5;  1.0; 1;   155;  0.4614;  100.0;  100.0;  4.32e+00
         5;  1.0; 3;    27;  0.1278;  100.0;  100.0;  4.32e+00
         5;  1.0; 7;  1000;  0.0379;  100.0;  100.0;  1.38e+01
         5; 10.0; 1;    73;  0.2538;  100.0;  100.0;  1.72e+01
         5; 10.0; 3;    38;  0.2360;  100.0;  100.0;  1.72e+01
         5; 10.0; 7;  1000;  0.0454;   79.6;   57.2;       Inf
         6;  0.0; 1;   206;  0.6092;  100.0;   99.2;  7.58e-07
         6;  0.0; 3;    20;  0.1897;  100.0;   94.8;  4.22e-39
         6;  0.0; 7;    31;  0.0020;   99.6;   99.2;  3.56e-01
         6;  1.0; 1;   234;  0.7486;  100.0;   99.2;  5.82e+00
         6;  1.0; 3;    26;  0.1303;  100.0;   99.2;  5.82e+00
         6;  1.0; 7;  1000;  0.0449;  100.0;   98.4;  1.74e+01
         6; 10.0; 1;  1000;  1.8041;  100.0;   99.2;  2.06e+01
         6; 10.0; 3;    40;  0.1749;  100.0;   99.2;  2.06e+01
         6; 10.0; 7;  1000;  0.0386;   80.0;   57.6;       Inf
         7;  0.0; 1;     3;  0.0313;  100.0;   99.6;  1.32e-07
         7;  0.0; 3;     3;  0.0355;  100.0;   99.6;  8.08e-08
         7;  0.0; 7;     9;  0.0005;   99.6;   99.6;  8.02e-01
         7;  1.0; 1;   105;  0.3412;  100.0;   99.6;  3.89e+00
         7;  1.0; 3;    18;  0.1137;  100.0;   99.6;  3.89e+00
         7;  1.0; 7;  1000;  0.0394;  100.0;   99.6;  1.19e+01
         7; 10.0; 1;    44;  0.1730;  100.0;   99.6;  1.50e+01
         7; 10.0; 3;    34;  0.1829;  100.0;   99.6;  1.50e+01
         7; 10.0; 7;  1000;  0.0355;   94.0;   84.8;       Inf
         8;  0.0; 1;  1000;  2.7911;  100.0;   96.4;  1.04e-01
         8;  0.0; 3;    19;  0.0764;  100.0;   91.6;  1.52e-07
         8;  0.0; 7;   113;  0.0056;   90.0;   84.8;  1.66e+01
         8;  1.0; 1;   711;  1.9076;   98.8;   97.6;  1.39e+01
         8;  1.0; 3;    29;  0.1311;   98.8;   97.6;  1.39e+01
         8;  1.0; 7;  1000;  0.0358;   87.6;   82.0;  3.21e+01
         8; 10.0; 1;   142;  0.3906;   98.0;   96.4;  3.41e+01
         8; 10.0; 3;    42;  0.1753;   98.0;   96.4;  3.41e+01
         8; 10.0; 7;  1000;  0.0374;   54.0;   12.8;       Inf
         9;  0.0; 1;  1000;  2.4126;  100.0;   98.4;  1.54e-06
         9;  0.0; 3;    13;  0.0791;  100.0;   94.8;  4.60e-15
         9;  0.0; 7;   256;  0.0117;  100.0;   98.0;  6.74e-02
         9;  1.0; 1;   470;  1.3677;   99.6;   98.4;  9.57e+00
         9;  1.0; 3;    29;  0.1652;   99.6;   98.4;  9.57e+00
         9;  1.0; 7;  1000;  0.0464;   98.0;   96.8;  2.55e+01
         9; 10.0; 1;   119;  0.4635;   99.2;   97.6;  2.82e+01
         9; 10.0; 3;    40;  0.1825;   99.2;   97.6;  2.82e+01
         9; 10.0; 7;  1000;  0.0539;   54.0;    9.6;       Inf
         0;  0.0; 1;   282;  0.7776;  100.0;   99.6;  7.89e-07
         0;  0.0; 3;    16;  0.1120;  100.0;   97.6;  7.98e-28
         0;  0.0; 7;     7;  0.0005;   52.4;   10.0;  1.19e+02
         0;  1.0; 1;   314;  0.8909;  100.0;   99.6;  6.98e+00
         0;  1.0; 3;    41;  0.1790;  100.0;   99.6;  6.98e+00
         0;  1.0; 7;  1000;  0.0378;  100.0;   98.8;  2.11e+01
         0; 10.0; 1;   110;  0.3448;  100.0;   99.6;  2.42e+01
         0; 10.0; 3;    37;  0.2142;  100.0;   99.6;  2.42e+01
         0; 10.0; 7;  1000;  0.0346;   52.4;   10.0;       Inf
