num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;     2;  0.0479;  100.0;  100.0;  8.81e-08
         1;  0.0; 3;     2;  0.0413;  100.0;  100.0;  8.81e-08
         1;  0.0; 7;     8;  0.0039;  100.0;  100.0;  1.46e-01
         1;  1.0; 1;    76;  0.3133;  100.0;  100.0;  3.24e+00
         1;  1.0; 3;    18;  0.1090;  100.0;  100.0;  3.24e+00
         1;  1.0; 7;  1000;  0.0855;  100.0;  100.0;  1.04e+01
         1; 10.0; 1;    41;  0.2372;  100.0;  100.0;  1.37e+01
         1; 10.0; 3;    38;  0.2163;  100.0;  100.0;  1.37e+01
         1; 10.0; 7;  1000;  0.0452;  100.0;  100.0;       Inf
         2;  0.0; 1;   336;  0.9612;  100.0;   99.6;  1.32e-06
         2;  0.0; 3;   132;  0.4717;  100.0;   98.0;  3.26e-07
         2;  0.0; 7;    58;  0.0025;   99.6;   99.2;  9.37e-01
         2;  1.0; 1;   252;  0.7688;   99.6;   99.2;  7.10e+00
         2;  1.0; 3;    25;  0.1235;   99.6;   99.2;  7.10e+00
         2;  1.0; 7;  1000;  0.0373;   95.6;   92.4;  1.87e+01
         2; 10.0; 1;  1000;  1.7993;   97.2;   93.2;  2.15e+01
         2; 10.0; 3;    41;  0.1573;   97.2;   93.2;  2.15e+01
         2; 10.0; 7;  1000;  0.0364;   89.6;   81.6;       Inf
         3;  0.0; 1;  1000;  2.7526;  100.0;   98.4;  5.82e-03
         3;  0.0; 3;    22;  0.0972;  100.0;   95.6;  8.78e-14
         3;  0.0; 7;    20;  0.0013;   58.4;   22.8;  1.04e+02
         3;  1.0; 1;   492;  1.5021;   99.6;   99.6;  1.12e+01
         3;  1.0; 3;    30;  0.1481;   99.6;   99.6;  1.12e+01
         3;  1.0; 7;  1000;  0.0555;   90.8;   87.6;  2.78e+01
         3; 10.0; 1;    89;  0.3076;   98.0;   99.6;  2.98e+01
         3; 10.0; 3;    38;  0.1705;   98.0;   99.6;  2.98e+01
         3; 10.0; 7;  1000;  0.0504;   54.4;    9.6;       Inf
         4;  0.0; 1;     4;  0.0387;  100.0;   99.6;  8.55e-13
         4;  0.0; 3;     4;  0.0459;  100.0;   99.6;  1.41e-14
         4;  0.0; 7;     5;  0.0003;   98.8;   99.2;  1.50e+00
         4;  1.0; 1;    95;  0.2817;  100.0;  100.0;  3.26e+00
         4;  1.0; 3;    19;  0.0964;  100.0;  100.0;  3.26e+00
         4;  1.0; 7;  1000;  0.0458;  100.0;  100.0;  1.03e+01
         4; 10.0; 1;    58;  0.1913;  100.0;  100.0;  1.35e+01
