num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         9;  0.0; 1;  1000;  2.7457;  100.0;   96.0;  2.26e-04
         9;  0.0; 3;    17;  0.1398;  100.0;   90.4;  7.83e-28
         9;  0.0; 7;  1000;  0.0662;   45.2;   87.6;  1.37e+02
         9;  1.0; 1;   426;  1.2066;   99.6;   98.0;  9.61e+00
         9;  1.0; 3;    29;  0.1399;   99.6;   98.0;  9.61e+00
         9;  1.0; 7;  1000;  0.0658;   98.4;   97.2;  2.48e+01
         9; 10.0; 1;   132;  0.4165;   98.4;   98.0;  2.76e+01
         9; 10.0; 3;    41;  0.1815;   98.4;   98.0;  2.76e+01
         9; 10.0; 7;  1000;  0.0658;   90.8;   88.0;       Inf
         0;  0.0; 1;   643;  1.8008;  100.0;   99.6;  1.25e-06
         0;  0.0; 3;    14;  0.1329;  100.0;   98.0;  4.34e-29
         0;  0.0; 7;    54;  0.0038;  100.0;   99.6;  2.43e-01
         0;  1.0; 1;   351;  1.2022;   99.6;  100.0;  7.77e+00
         0;  1.0; 3;    29;  0.1637;   99.6;  100.0;  7.77e+00
         0;  1.0; 7;  1000;  0.0625;   99.2;   98.4;  2.23e+01
         0; 10.0; 1;   126;  0.4289;  100.0;  100.0;  2.50e+01
         0; 10.0; 3;    35;  0.1884;  100.0;  100.0;  2.50e+01
         0; 10.0; 7;  1000;  0.0640;   46.8;   89.6;       Inf
